Latitude (degrés);Longitude (degrés);Altitude (mètres);Service range(mètres);Distance de séparation (mètres);Angle ground station (degrés;puissance reçue (dbm);distance_interferer;Interférence (dbm)
48.87562286025441;1.7415282193796255;530.0833414818173;99227.97000797682;99233.12372260891;90.1574049860084;-108.46437343393177;0.0;-113.0
48.86510652260991;1.7244492754984073;530.0494321738078;98335.32002599533;98340.44965599547;90.1507827070586;-108.38588256662803;1731.861480753534;-113.0
48.85459018496541;1.7073703316171889;530.0155228657981;97465.0273019493;97470.13363652682;90.14428017986774;-108.30866858877613;3463.880328594692;-113.0
48.844073847320914;1.6902913877359707;529.9816135577885;96617.7062912455;96622.79012509926;90.13790436971762;-108.23282743053943;5196.056455271059;-113.0
48.83355750967641;1.6732124438547524;529.9477042497788;95793.97694859709;95799.03908126241;90.13166246686592;-108.15845759432278;6928.389772520696;-113.0
48.823041172031914;1.6561334999735342;529.9137949417692;94994.46345369105;94999.50468887335;90.12556187397625;-108.08565995273767;8660.88019207124;-113.0
48.81252483438741;1.639054556092316;529.8798856337595;94219.7928121782;94224.81395706782;90.11961019066915;-108.01453751235817;10393.527625640723;-113.0
48.802008496742914;1.6219756122110975;529.8459763257499;93470.59333099407;93475.5951955784;90.11381519503821;-107.94519514196247;12126.33198493584;-113.0
48.79149215909841;1.6048966683298793;529.8120670177402;92747.49296841817;92752.47636478987;90.10818482199603;-107.87773926430282;13859.293181653615;-113.0
48.780975821453914;1.587817724448661;529.7781577097306;92051.11756088762;92056.08330255802;90.10272713833045;-107.81227751087067;15592.41112748105;-113.0
48.77045948380942;1.5707387805674426;529.7442484017209;91382.08893025349;91387.03783148126;90.09745031441521;-107.74891833960604;17325.685734094455;-113.0
48.759943146164915;1.5536598366862244;529.7103390937114;90741.02287719576;90745.95575233651;90.09236259256821;-107.68777061606642;19059.116913159643;-113.0
48.74942680852042;1.5365808928050062;529.6764297857017;90128.52706843833;90133.44473132376;90.08747225207301;-107.62894315918058;20792.70457633304;-113.0
48.738910470875915;1.519501948923788;529.6425204776921;89545.19882766968;89550.10209102646;90.08278757099822;-107.57254425339988;22526.448635260243;-113.0
48.72839413323142;1.5024230050425698;529.6086111696824;88991.62284223366;88996.51251714179;90.07831678494648;-107.51868112977306;24260.349001576855;-113.0
48.717877795586915;1.4853440611613513;529.5747018616728;88468.368799926;88473.24569534203;90.0740680430152;-107.46745941923123;25994.405586907684;-113.0
48.70736145794242;1.468265117280133;529.5407925536631;87975.98897254023;87980.85389487089;90.07004936125932;-107.41898258214042;27728.618302869447;-113.0
48.696845120297915;1.4511861733989149;529.5068832456535;87515.01576481422;87519.86951756869;90.06626857405993;-107.37335131894014;29462.987061064992;-113.0
48.68632878265342;1.4341072295176964;529.4729739376438;87085.95924963125;87090.80263313974;90.06273328388288;-107.33066296743638;31197.511773090646;-113.0
48.675812445008916;1.4170282856364782;529.4390646296342;86689.30471196401;86694.13852318132;90.05945080995137;-107.29101089299988;32932.192350530146;-113.0
48.66529610736442;1.39994934175526;529.4051553216245;86325.51022571129;86330.33525810008;90.05642813646493;-107.25448387854078;34667.02870495702;-113.0
48.65477976971992;1.3828703978740418;529.371246013615;85995.0042886757;85999.8213321784;90.0536718610253;-107.22116552164121;36402.020747936855;-113.0
48.64426343207542;1.3657914539928235;529.3373367056053;85698.18354180925;85702.99338290635;90.05118814397503;-107.19113364661939;38137.16839102297;-113.0
48.63374709443092;1.348712510111605;529.3034273975957;85435.41059909671;85440.21402094631;90.04898265941841;-107.16445973953014;39872.47154575907;-113.0
48.62323075678642;1.3316335662303869;529.269518089586;85207.01201435774;85211.80979702184;90.04706054866078;-107.14120841418634;41607.930123678714;-113.0
48.61271441914192;1.3145546223491686;529.2356087815764;85013.27641051964;85018.06933126206;90.04542637684672;-107.1214369171669;43343.54403630571;-113.0
48.60219808149742;1.2974756784679502;529.2016994735667;84854.45279565219;84859.24162931966;90.04408409351862;-107.10519467947526;45079.31319515303;-113.0
48.591681743852924;1.280396734586732;529.1677901655571;84730.74908832402;84735.534607776;90.0430369977882;-107.09252292201202;46815.23751172378;-113.0
48.58116540620842;1.2633177907055138;529.1338808575474;84642.33087244554;84647.11384904843;90.04228770875964;-107.08345432133765;48551.31689751116;-113.0
48.570649068563924;1.2462388468242955;529.0999715495378;84589.32039904257;84594.10160319961;90.04183814173862;-107.078012741333;50287.55126399811;-113.0
48.56013273091942;1.2291599029430773;529.0660622415282;84571.79584909594;84576.57605081778;90.04168949068755;-107.07621303533946;52023.9405226572;-113.0
48.549616393274924;1.2120809590618589;529.0321529335185;84589.79086804538;84594.5708375249;90.04184221724887;-107.07806092220068;53760.48458495071;-113.0
48.53910005563043;1.1950020151806406;528.998243625509;84643.29437864914;84648.07488685349;90.04229604655688;-107.08355293837275;55497.18336233162;-113.0
48.528583717985924;1.1779230712994224;528.9643343174993;84732.25067486633;84737.03249411142;90.04304996992701;-107.09267646693888;57234.03676624245;-113.0
48.51806738034143;1.160844127418204;528.9304250094897;84856.55979532897;84861.34369983866;90.044102254346;-107.10540984302321;58971.044708114634;-113.0
48.507551042696925;1.1437651835369858;528.89651570148;85016.0781708713;85020.86493729688;90.04545045860937;-107.12172253375746;60708.20709937114;-113.0
48.49703470505243;1.1266862396557675;528.8626063934704;85210.61953669073;85215.4099445862;90.04709145577341;-107.14157538968169;62445.52385142364;-113.0
48.486518367407925;1.1096072957745493;528.8286970854607;85439.95609599461;85444.7509282325;90.04902146151015;-107.16492096326763;64182.99487567465;-113.0
48.47600202976343;1.092528351893331;528.7947877774511;85703.81991869574;85708.61996181759;90.05123606783825;-107.1917038891992;65920.6200835152;-113.0
48.465485692118925;1.0754494080121126;528.7608784694414;86001.90455571596;86006.71060020864;90.05373028161166;-107.22186132012797;67658.39938632771;-113.0
48.45496935447443;1.0583704641308944;528.7269691614318;86333.86684707552;86338.67968756372;90.0564985670879;-107.2553234108949;69396.33269548339;-113.0
48.44445301682993;1.0412915202496762;528.6930598534221;86699.32889992448;86704.14933528003;90.05953489185559;-107.29201384365695;71134.41992234452;-113.0
